,lnps-10-org-obj,lnps-10-nrm-obj,lnps-10-obj,lnps-10-diff,lnps-10-freq,lnps-30-org-obj,lnps-30-nrm-obj,lnps-30-obj,lnps-30-diff,lnps-30-freq,lnps-60-org-obj,lnps-60-nrm-obj,lnps-60-obj,lnps-60-diff,lnps-60-freq,mp-is-p-hi-org-obj,mp-is-p-hi-nrm-obj,mp-is-p-hi-obj,mp-is-p-hi-diff,mp-is-p-hi-freq,mp-is-p-low-org-obj,mp-is-p-low-nrm-obj,mp-is-p-low-obj,mp-is-p-low-diff,mp-is-p-low-freq,mp-is-p-mid-org-obj,mp-is-p-mid-nrm-obj,mp-is-p-mid-obj,mp-is-p-mid-diff,mp-is-p-mid-freq,mp-p-hi-org-obj,mp-p-hi-nrm-obj,mp-p-hi-obj,mp-p-hi-diff,mp-p-hi-freq,mp-p-low-org-obj,mp-p-low-nrm-obj,mp-p-low-obj,mp-p-low-diff,mp-p-low-freq,mp-p-mid-org-obj,mp-p-mid-nrm-obj,mp-p-mid-obj,mp-p-mid-diff,mp-p-mid-freq
resolved-c28d-paper/resolved-c28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s2,0 0 0 0 0 89 -149,0.0 0.0 0.0 0.0 0.0 0.0 0.3854166666666667,0.3854166666666667,0,532,0 0 0 0 0 91 -186,0.0 0.0 0.0 0.0 0.0 0.03571428571428571 0.0,0.3571428571428571,0,443,0 0 0 0 0 91 -150,0.0 0.0 0.0 0.0 0.0 0.03571428571428571 0.375,0.7321428571428571,0,426,0 0 0 0 0 145 -90,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,147,0 0 0 0 0 145 -90,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,147,0 0 0 0 0 145 -90,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,147,0 0 0 0 0 145 -90,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,147,0 0 0 0 0 145 -90,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,147,0 0 0 0 0 145 -90,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,147
resolved-c28d-paper/resolved-c28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s8,1 16 2040 357 98 4463 -62,1.0 0.0 0.0 0.0 0.0 0.6944444444444444 0.0,1000006.9444444445,0,19264,1 106 2468 568 135 4322 -50,1.0 0.2097902097902098 0.390154968094804 0.1704361873990307 0.25517241379310346 0.53125 0.13186813186813187,1025081.9684568794,0,15930,1 187 3137 640 139 4727 3,1.0 0.3986013986013986 1.0 0.22859450726978997 0.2827586206896552 1.0 0.7142857142857143,1050127.7245151927,0,11654,0 441 2090 1572 195 3899 19,0.0 0.9906759906759907 0.04557885141294439 0.981421647819063 0.6689655172413793 0.041666666666666664 0.8901098901098901,100573.0125578285,0,13533,0 445 2081 1595 208 3893 17,0.0 1.0 0.037374658158614404 1.0 0.7586206896551724 0.034722222222222224 0.8681318681318682,101450.82400464203,0,13357,0 438 2054 1456 235 3874 26,0.0 0.9836829836829837 0.01276207839562443 0.8877221324717286 0.9448275862068966 0.01273148148148148 0.967032967032967,99479.21839112887,0,13746,0 434 2051 1457 243 3863 29,0.0 0.9743589743589743 0.010027347310847767 0.8885298869143781 1.0 0.0 1.0,98525.70079592029,0,13988,0 436 2048 1456 240 3895 29,0.0 0.9790209790209791 0.007292616226071103 0.8877221324717286 0.9793103448275862 0.037037037037037035 1.0,98962.04760168346,0,13915,0 428 2054 1441 240 3875 22,0.0 0.9603729603729604 0.01276207839562443 0.875605815831987 0.9793103448275862 0.013888888888888888 0.9230769230769231,97139.515637379,0,14171
resolved-c28d-paper/resolved-c28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s3,0 2 128 2440 5 2013 -140,0.0 0.0 0.0 1.0 0.0 0.0 0.0,1000.0,0,5860,0 2 2220 1012 309 8604 -23,0.0 0.0 0.723625043237634 0.13768115942028986 0.632016632016632 0.8882749326145553 0.7358490566037735,7446.751853381042,0,35110,0 2 2578 1058 353 9345 -11,0.0 0.0 0.847457627118644 0.16545893719806765 0.7234927234927235 0.9881401617250674 0.8113207547169812,8723.07720310575,0,34298,0 2 2532 808 486 8737 -4,0.0 0.0 0.8315461777931512 0.014492753623188406 1.0 0.9061994609164421 0.8553459119496856,8439.871872075815,0,38600,0 2 2422 784 414 8619 19,0.0 0.0 0.7934970598408855 0.0 0.8503118503118503 0.8902964959568733 1.0,8029.904748399609,0,39485,0 2 3019 1054 341 9433 5,0.0 0.0 1.0 0.16304347826086957 0.6985446985446986 1.0 0.9119496855345912,10243.809897800875,0,33431,0 2 2707 894 278 9243 -4,0.0 0.0 0.8920788654444829 0.06642512077294686 0.5675675675675675 0.9743935309973046 0.8553459119496856,9054.569813196455,0,37830,0 2 2243 907 354 8297 -20,0.0 0.0 0.7315807679003805 0.07427536231884058 0.7255717255717256 0.846900269541779 0.7547169811320755,7471.8639335563685,0,40854,0 2 2226 860 338 8222 -11,0.0 0.0 0.725700449671394 0.04589371980676329 0.6923076923076923 0.8367924528301887 0.8113207547169812,7381.308231034492,0,41544
resolved-c28d-paper/resolved-c28d-3600-2nd/nsp-n10-d28-r0.10-rp0-fp0-s8,0 1 0 2 0 79 -34,0.0 0.0 0.0 0.0 0.0 0.1111111111111111 0.2,1.3111111111111111,0,36414,0 1 0 2 0 77 -36,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,36380,0 1 0 2 0 78 -35,0.0 0.0 0.0 0.0 0.0 0.05555555555555555 0.1,0.6555555555555556,0,36362,0 1 0 2 0 95 -26,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,36467,0 1 0 2 0 95 -26,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,36467,0 1 0 2 0 95 -26,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,36467,0 1 0 2 0 95 -26,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,36467,0 1 0 2 0 95 -26,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,36467,0 1 0 2 0 95 -26,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,36467
resolved-c28d-paper/resolved-c28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s5,0 0 2 26 1 362 -47,0.0 0.0 0.0 0.0 0.01639344262295082 0.0 0.20454545454545456,1.8438897168405366,0,3933,0 0 217 3233 0 1599 -65,0.0 0.0 1.0 1.0 0.0 1.0 0.0,11010.0,0,2066,0 0 2 167 28 957 8,0.0 0.0 0.0 0.04396632366697849 0.45901639344262296 0.48100242522231207 0.8295454545454546,95.50753271800936,0,27370,0 0 20 217 47 942 23,0.0 0.0 0.08372093023255814 0.05955721858434674 0.7704918032786885 0.4688763136620857 1.0,979.5044643744178,0,21346,0 0 20 217 47 942 23,0.0 0.0 0.08372093023255814 0.05955721858434674 0.7704918032786885 0.4688763136620857 1.0,979.5044643744178,0,21346,0 0 28 190 61 1077 5,0.0 0.0 0.12093023255813953 0.05113813532896788 1.0 0.5780113177041228 0.7954545454545454,1367.0160286328587,0,20577,0 0 20 217 47 935 14,0.0 0.0 0.08372093023255814 0.05955721858434674 0.7704918032786885 0.46321746160064675 0.8977272727272727,979.3456031265307,0,21354,0 0 20 183 40 827 5,0.0 0.0 0.08372093023255814 0.04895541004053633 0.6557377049180327 0.375909458367017 0.7954545454545454,956.2930319870457,0,21685,0 0 20 183 40 826 6,0.0 0.0 0.08372093023255814 0.04895541004053633 0.6557377049180327 0.37510105092966856 0.8068181818181818,956.2963115490357,0,21686
resolved-c28d-paper/resolved-c28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s9,0 8 319 351 86 1318 -11,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,10993,0 72 459 397 100 1639 8,0.0 0.23272727272727273 0.24054982817869416 0.1141439205955335 0.16470588235294117 0.7447795823665894 0.30158730158730157,25816.589446470294,0,10139,0 157 564 437 129 1494 3,0.0 0.5418181818181819 0.4209621993127148 0.21339950372208435 0.5058823529411764 0.40835266821345706 0.2222222222222222,58659.73366286589,0,10304,0 259 852 728 141 1606 36,0.0 0.9127272727272727 0.915807560137457 0.9354838709677419 0.6470588235294118 0.6682134570765661 0.746031746031746,101438.42079373932,0,36917,0 245 884 736 146 1730 36,0.0 0.8618181818181818 0.9707903780068728 0.9553349875930521 0.7058823529411765 0.9559164733178654 0.746031746031746,96925.9503812533,0,37433,0 251 880 754 157 1749 31,0.0 0.8836363636363637 0.9639175257731959 1.0 0.8352941176470589 1.0 0.6666666666666666,99097.0076997997,0,37137,0 283 901 700 171 1569 52,0.0 1.0 1.0 0.8660049627791563 1.0 0.5823665893271461 1.0,110972.82862867243,0,35778,0 259 852 728 141 1606 36,0.0 0.9127272727272727 0.915807560137457 0.9354838709677419 0.6470588235294118 0.6682134570765661 0.746031746031746,101438.42079373932,0,36917,0 259 852 728 141 1606 36,0.0 0.9127272727272727 0.915807560137457 0.9354838709677419 0.6470588235294118 0.6682134570765661 0.746031746031746,101438.42079373932,0,36917
resolved-c28d-paper/resolved-c28d-3600-2nd/nsp-n40-d28-r0.10-rp2-fp2-s7,0 1 0 0 0 141 -181,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,21511,0 1 0 1 0 172 -115,0.0 0.0 0.0 1.0 0.0 0.2743362831858407 0.868421052631579,1003.61178388449,0,21349,0 1 0 0 0 158 -124,0.0 0.0 0.0 0.0 0.0 0.1504424778761062 0.75,2.254424778761062,0,21133,0 1 0 0 0 254 -106,0.0 0.0 0.0 0.0 0.0 1.0 0.9868421052631579,10.986842105263158,0,18017,0 1 0 0 0 254 -107,0.0 0.0 0.0 0.0 0.0 1.0 0.9736842105263158,10.973684210526315,0,18018,0 1 0 0 0 254 -105,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,18016,0 1 0 0 0 254 -107,0.0 0.0 0.0 0.0 0.0 1.0 0.9736842105263158,10.973684210526315,0,18018,0 1 0 0 0 254 -106,0.0 0.0 0.0 0.0 0.0 1.0 0.9868421052631579,10.986842105263158,0,18017,0 1 0 0 0 254 -107,0.0 0.0 0.0 0.0 0.0 1.0 0.9736842105263158,10.973684210526315,0,18018
resolved-c28d-paper/resolved-c28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s4,0 2 28 101 2 1015 -92,0.0 0.0 0.032 0.02001585414189457 0.024096385542168676 0.10743501181603345 0.18548387096774194,343.68532668523954,0,4857,0 2 240 5046 9 2691 -84,0.0 0.0 0.2742857142857143 1.0 0.10843373493975904 0.4121068896564261 0.25,3758.0715852476833,0,4512,0 2 875 642 83 5925 9,0.0 0.0 1.0 0.1272294887039239 1.0 1.0 1.0,10238.229488703924,0,35010,0 2 0 0 0 424 -84,0.0 0.0 0.0 0.0 0.0 0.0 0.25,0.25,0,22921,0 2 0 0 0 424 -83,0.0 0.0 0.0 0.0 0.0 0.0 0.25806451612903225,0.25806451612903225,0,22920,0 2 0 0 0 424 -84,0.0 0.0 0.0 0.0 0.0 0.0 0.25,0.25,0,22921,0 2 0 0 0 424 -83,0.0 0.0 0.0 0.0 0.0 0.0 0.25806451612903225,0.25806451612903225,0,22920,0 2 0 0 0 424 -83,0.0 0.0 0.0 0.0 0.0 0.0 0.25806451612903225,0.25806451612903225,0,22920,0 2 0 0 0 432 -115,0.0 0.0 0.0 0.0 0.0 0.0014542810398109434 0.0,0.014542810398109434,0,22905
resolved-c28d-paper/resolved-c28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s6,0 26 24 99 9 741 -28,0.0 0.055 0.0 0.0 0.0 0.0 0.0,5500.0,0,15055,0 71 260 398 35 1298 33,0.0 0.28 0.2224316682375118 0.5456204379562044 0.11063829787234042 0.19564453811029153 0.9242424242424242,30783.88163792391,0,14046,0 215 307 481 63 1053 38,0.0 1.0 0.26672950047125354 0.6970802919708029 0.2297872340425532 0.1095890410958904 1.0,103389.44991049856,0,17269,0 18 1048 640 235 3483 30,0.0 0.015 0.9651272384542884 0.9872262773722628 0.9617021276595744 0.9631190727081138 0.8787878787878788,12245.178853286974,0,27688,0 25 1052 623 204 3588 33,0.0 0.05 0.9688972667295005 0.9562043795620438 0.8297872340425532 1.0 0.9242424242424242,15739.080012685548,0,25741,0 22 1054 585 219 3488 19,0.0 0.035 0.9707822808671065 0.8868613138686131 0.8936170212765957 0.9648753073410608 0.7121212121212122,14194.40669895287,0,26664,0 15 1046 647 244 3497 27,0.0 0.0 0.9632422243166824 1.0 1.0 0.9680365296803652 0.8333333333333334,10742.93594179696,0,27906,0 22 1023 587 212 3508 21,0.0 0.035 0.941564561734213 0.8905109489051095 0.8638297872340426 0.9719002458728486 0.7424242424242424,13903.000971671798,0,26776,0 28 1085 626 241 3550 29,0.0 0.065 1.0 0.9616788321167883 0.9872340425531915 0.9866526167896031 0.8636363636363636,17571.13239890364,0,25081
resolved-c28d-paper/resolved-c28d-3600-2nd/nsp-n20-d28-r0.10-rp2-fp2-s0,0 0 0 0 0 54 -92,0.0 0.0 0.0 0.0 0.0 0.11764705882352941 0.0,1.1764705882352942,0,312,0 0 0 0 0 52 -85,0.0 0.0 0.0 0.0 0.0 0.0 0.18421052631578946,0.18421052631578946,0,249,0 0 0 0 0 59 -85,0.0 0.0 0.0 0.0 0.0 0.4117647058823529 0.18421052631578946,4.301857585139318,0,209,0 0 0 0 0 69 -54,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,166,0 0 0 0 0 69 -54,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,166,0 0 0 0 0 69 -54,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,166,0 0 0 0 0 69 -54,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,166,0 0 0 0 0 69 -54,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,166,0 0 0 0 0 69 -54,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,166
resolved-c28d-paper/resolved-c28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s6,0 2 83 1510 11 1613 -127,0.0 0.0 1.0 1.0 1.0 1.0 0.5138888888888888,11110.513888888889,0,5269,0 2 2 0 0 276 -147,0.0 0.0 0.0 0.0 0.0 0.0 0.2361111111111111,0.2361111111111111,0,25251,0 2 2 1 0 757 -92,0.0 0.0 0.0 0.0006622516556291391 0.0 0.35976065818997754 1.0,5.259858237528914,0,24826,0 2 2 0 0 326 -164,0.0 0.0 0.0 0.0 0.0 0.037397157816005985 0.0,0.3739715781600599,0,19621,0 2 2 0 0 326 -162,0.0 0.0 0.0 0.0 0.0 0.037397157816005985 0.027777777777777776,0.40174935593783767,0,19619,0 2 2 0 0 326 -163,0.0 0.0 0.0 0.0 0.0 0.037397157816005985 0.013888888888888888,0.3878604670489488,0,19620,0 2 2 0 0 326 -164,0.0 0.0 0.0 0.0 0.0 0.037397157816005985 0.0,0.3739715781600599,0,19621,0 2 2 0 0 326 -164,0.0 0.0 0.0 0.0 0.0 0.037397157816005985 0.0,0.3739715781600599,0,19621,0 2 2 0 0 326 -163,0.0 0.0 0.0 0.0 0.0 0.037397157816005985 0.013888888888888888,0.3878604670489488,0,19620
resolved-c28d-paper/resolved-c28d-3600-2nd/nsp-n40-d28-r0.10-rp2-fp2-s1,0 3 22 9 0 268 -182,0.0 1.0 0.0 0.0 0.0 0.0 0.0,100000.0,0,4807,0 2 37 400 82 2445 -27,0.0 0.0 0.032119914346895075 0.6683760683760683 0.43617021276595747 0.6082704666107851 0.9451219512195121,1040.2200597389424,0,38483,0 2 79 475 89 2955 -18,0.0 0.0 0.12205567451820129 0.7965811965811965 0.4734042553191489 0.7507683710533669 1.0,2072.986051005658,0,38118,0 2 151 502 185 2871 -53,0.0 0.0 0.2762312633832976 0.8427350427350427 0.9840425531914894 0.7272981279687063 0.7865853658536586,3711.511498532708,0,47072,0 2 175 545 188 2784 -62,0.0 0.0 0.32762312633832974 0.9162393162393162 1.0 0.7029896619167365 0.7317073170731707,4300.232183558855,0,45049,0 2 489 570 127 3847 -44,0.0 0.0 1.0 0.958974358974359 0.675531914893617 1.0 0.8414634146341463,11037.369013878355,0,41164,0 2 157 594 172 2998 -54,0.0 0.0 0.2890792291220557 1.0 0.9148936170212766 0.7627829002514669 0.7804878048780488,3990.6899697300773,0,45204,0 2 202 511 150 2870 -24,0.0 0.0 0.3854389721627409 0.8581196581196581 0.7978723404255319 0.7270187203129366 0.9634146341463414,4800.530215626895,0,44148,0 2 155 581 174 2914 -50,0.0 0.0 0.284796573875803 0.9777777777777777 0.925531914893617 0.7393126571668064 0.8048780487804879,3926.4947126456186,0,46121
resolved-c28d-paper/resolved-c28d-3600-2nd/nsp-n10-d28-r0.10-rp0-fp0-s3,0 0 0 0 0 74 -40,0.0 0.0 0.0 0.0 0.0 0.16666666666666666 0.0,1.6666666666666665,0,212,0 0 0 0 0 71 -36,0.0 0.0 0.0 0.0 0.0 0.0 0.5,0.5,0,199,0 0 0 0 0 72 -36,0.0 0.0 0.0 0.0 0.0 0.05555555555555555 0.5,1.0555555555555556,0,157,0 0 0 0 0 89 -32,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,197,0 0 0 0 0 89 -33,0.0 0.0 0.0 0.0 0.0 1.0 0.875,10.875,0,198,0 0 0 0 0 89 -32,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,197,0 0 0 0 0 89 -32,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,197,0 0 0 0 0 89 -33,0.0 0.0 0.0 0.0 0.0 1.0 0.875,10.875,0,198,0 0 0 0 0 89 -33,0.0 0.0 0.0 0.0 0.0 1.0 0.875,10.875,0,198
resolved-c28d-paper/resolved-c28d-3600-2nd/nsp-n10-d28-r0.10-rp0-fp0-s5,0 0 2 0 0 118 -43,0.0 0.0 0.0 0.0 0.0 0.125 0.058823529411764705,1.3088235294117647,0,6718,0 0 2 0 0 117 -42,0.0 0.0 0.0 0.0 0.0 0.0 0.11764705882352941,0.11764705882352941,0,6740,0 0 2 0 0 118 -44,0.0 0.0 0.0 0.0 0.0 0.125 0.0,1.25,0,6721,0 0 2 0 0 125 -27,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,3965,0 0 2 0 0 125 -27,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,3965,0 0 2 0 0 125 -27,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,3965,0 0 2 0 0 125 -27,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,3965,0 0 2 0 0 125 -27,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,3965,0 0 2 0 0 125 -27,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,3965
resolved-c28d-paper/resolved-c28d-3600-2nd/nsp-n20-d28-r0.10-rp2-fp2-s9,0 0 0 0 0 54 -68,0.0 0.0 0.0 0.0 0.0 0.125 0.0,1.25,0,343,0 0 0 0 0 54 -66,0.0 0.0 0.0 0.0 0.0 0.125 0.07407407407407407,1.324074074074074,0,299,0 0 0 0 0 51 -68,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,282,0 0 0 0 0 75 -41,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,100,0 0 0 0 0 75 -41,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,100,0 0 0 0 0 75 -41,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,100,0 0 0 0 0 75 -41,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,100,0 0 0 0 0 75 -41,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,100,0 0 0 0 0 75 -41,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,100
resolved-c28d-paper/resolved-c28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s7,0 3 204 650 31 1977 -35,0.0 1.0 1.0 1.0 1.0 1.0 1.0,111111.0,0,9259,0 2 0 0 0 375 -142,0.0 0.0 0.0 0.0 0.0 0.0 0.009259259259259259,0.009259259259259259,0,19218,0 2 0 0 0 447 -143,0.0 0.0 0.0 0.0 0.0 0.0449438202247191 0.0,0.449438202247191,0,18996,0 2 0 0 0 430 -122,0.0 0.0 0.0 0.0 0.0 0.03433208489388265 0.19444444444444445,0.537765293383271,0,22106,0 2 0 0 0 420 -120,0.0 0.0 0.0 0.0 0.0 0.028089887640449437 0.21296296296296297,0.49386183936745737,0,22121,0 2 0 0 0 420 -120,0.0 0.0 0.0 0.0 0.0 0.028089887640449437 0.21296296296296297,0.49386183936745737,0,22121,0 2 0 0 0 430 -123,0.0 0.0 0.0 0.0 0.0 0.03433208489388265 0.18518518518518517,0.5285060341240116,0,22107,0 2 0 0 0 420 -120,0.0 0.0 0.0 0.0 0.0 0.028089887640449437 0.21296296296296297,0.49386183936745737,0,22121,0 2 0 0 0 420 -119,0.0 0.0 0.0 0.0 0.0 0.028089887640449437 0.2222222222222222,0.5031210986267166,0,22120
resolved-c28d-paper/resolved-c28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s4,0 2 0 0 0 109 -132,0.0 0.0 0.0 0.0 0.0 0.046511627906976744 0.0,0.46511627906976744,0,26033,0 2 0 0 0 107 -118,0.0 0.0 0.0 0.0 0.0 0.0 0.21875,0.21875,0,25911,0 2 0 0 0 111 -84,0.0 0.0 0.0 0.0 0.0 0.09302325581395349 0.75,1.6802325581395348,0,25831,0 2 0 0 0 150 -77,0.0 0.0 0.0 0.0 0.0 1.0 0.859375,10.859375,0,16423,0 2 0 0 0 141 -68,0.0 0.0 0.0 0.0 0.0 0.7906976744186046 1.0,8.906976744186046,0,16441,0 2 0 0 0 141 -68,0.0 0.0 0.0 0.0 0.0 0.7906976744186046 1.0,8.906976744186046,0,16441,0 2 0 0 0 150 -77,0.0 0.0 0.0 0.0 0.0 1.0 0.859375,10.859375,0,16423,0 2 0 0 0 141 -68,0.0 0.0 0.0 0.0 0.0 0.7906976744186046 1.0,8.906976744186046,0,16441,0 2 0 0 0 150 -75,0.0 0.0 0.0 0.0 0.0 1.0 0.890625,10.890625,0,16421
resolved-c28d-paper/resolved-c28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s1,0 0 172 3039 6 2118 -96,0.0 0.0 1.0 1.0 1.0 1.0 1.0,11111.0,0,4564,0 0 2 2 0 285 -157,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,7605,0 0 2 2 0 318 -135,0.0 0.0 0.0 0.0 0.0 0.01800327332242226 0.36065573770491804,0.5406884709291406,0,7562,0 0 2 2 0 467 -124,0.0 0.0 0.0 0.0 0.0 0.09929078014184398 0.5409836065573771,1.5338914079758168,0,8535,0 0 2 2 0 467 -124,0.0 0.0 0.0 0.0 0.0 0.09929078014184398 0.5409836065573771,1.5338914079758168,0,8535,0 0 2 2 0 467 -124,0.0 0.0 0.0 0.0 0.0 0.09929078014184398 0.5409836065573771,1.5338914079758168,0,8535,0 0 2 2 0 467 -124,0.0 0.0 0.0 0.0 0.0 0.09929078014184398 0.5409836065573771,1.5338914079758168,0,8535,0 0 2 2 0 472 -129,0.0 0.0 0.0 0.0 0.0 0.10201854882705946 0.45901639344262296,1.4792018817132178,0,8533,0 0 2 2 0 467 -124,0.0 0.0 0.0 0.0 0.0 0.09929078014184398 0.5409836065573771,1.5338914079758168,0,8535
resolved-c28d-paper/resolved-c28d-3600-2nd/nsp-n20-d28-r0.10-rp2-fp2-s7,0 0 0 0 0 47 -97,0.0 0.0 0.0 0.0 0.0 0.15384615384615385 0.0,1.5384615384615385,0,349,0 0 0 0 0 45 -94,0.0 0.0 0.0 0.0 0.0 0.0 0.04918032786885246,0.04918032786885246,0,379,0 0 0 0 0 46 -82,0.0 0.0 0.0 0.0 0.0 0.07692307692307693 0.2459016393442623,1.0151324085750315,0,344,0 0 0 0 0 58 -36,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,120,0 0 0 0 0 58 -36,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,120,0 0 0 0 0 58 -36,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,120,0 0 0 0 0 58 -36,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,120,0 0 0 0 0 58 -36,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,120,0 0 0 0 0 58 -36,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,120
resolved-c28d-paper/resolved-c28d-3600-2nd/nsp-n10-d28-r0.10-rp0-fp0-s0,0 1 0 0 0 76 -37,0.0 0.0 0.0 0.0 0.0 0.0 0.35714285714285715,0.35714285714285715,0,23017,0 1 0 0 0 77 -42,0.0 0.0 0.0 0.0 0.0 0.05555555555555555 0.0,0.5555555555555556,0,23069,0 1 0 0 0 77 -36,0.0 0.0 0.0 0.0 0.0 0.05555555555555555 0.42857142857142855,0.9841269841269842,0,23057,0 1 0 0 0 94 -29,0.0 0.0 0.0 0.0 0.0 1.0 0.9285714285714286,10.928571428571429,0,19019,0 1 0 0 0 94 -28,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,19018,0 1 0 0 0 94 -31,0.0 0.0 0.0 0.0 0.0 1.0 0.7857142857142857,10.785714285714286,0,19021,0 1 0 0 0 94 -29,0.0 0.0 0.0 0.0 0.0 1.0 0.9285714285714286,10.928571428571429,0,19019,0 1 0 0 0 94 -28,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,19018,0 1 0 0 0 94 -29,0.0 0.0 0.0 0.0 0.0 1.0 0.9285714285714286,10.928571428571429,0,19019
resolved-c28d-paper/resolved-c28d-3600-2nd/nsp-n40-d28-r0.10-rp2-fp2-s3,0 0 0 255 3 772 -79,0.0 0.0 0.0 0.6773333333333333 0.036585365853658534 0.22391991570073763 0.3765432098765432,683.6076122855832,0,4514,0 0 0 4 0 479 -96,0.0 0.0 0.0 0.008 0.0 0.06954689146469968 0.2716049382716049,8.9670738529186,0,5010,0 0 0 1 0 347 -140,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,16514,0 0 2 180 31 1147 15,0.0 0.0 0.05714285714285714 0.47733333333333333 0.3780487804878049 0.4214963119072708 0.9567901234567902,1091.7385360532148,0,17854,0 0 0 131 16 1099 8,0.0 0.0 0.0 0.3466666666666667 0.1951219512195122 0.39620653319283455 0.9135802469135802,371.0545073674598,0,18227,0 0 35 376 82 2245 -14,0.0 0.0 1.0 1.0 1.0 1.0 0.7777777777777778,11110.777777777777,0,17123,0 0 6 276 25 1575 1,0.0 0.0 0.17142857142857143 0.7333333333333333 0.3048780487804878 0.6469968387776607 0.8703703703703703,2485.4471912552435,0,17800,0 0 0 174 17 1194 8,0.0 0.0 0.0 0.4613333333333333 0.2073170731707317 0.44625922023182296 0.9135802469135802,487.4412130996383,0,18104,0 0 0 114 8 1201 22,0.0 0.0 0.0 0.30133333333333334 0.0975609756097561 0.4499473129610116 1.0,316.58890402391904,0,18301
