,mp-is1-p-hi-org-obj,mp-is1-p-hi-nrm-obj,mp-is1-p-hi-obj,mp-is1-p-hi-diff,mp-is1-p-hi-freq,mp-is1-p-low-org-obj,mp-is1-p-low-nrm-obj,mp-is1-p-low-obj,mp-is1-p-low-diff,mp-is1-p-low-freq,mp-is1-p-mid-org-obj,mp-is1-p-mid-nrm-obj,mp-is1-p-mid-obj,mp-is1-p-mid-diff,mp-is1-p-mid-freq,mp-is10-p-hi-org-obj,mp-is10-p-hi-nrm-obj,mp-is10-p-hi-obj,mp-is10-p-hi-diff,mp-is10-p-hi-freq,mp-is10-p-low-org-obj,mp-is10-p-low-nrm-obj,mp-is10-p-low-obj,mp-is10-p-low-diff,mp-is10-p-low-freq,mp-is10-p-mid-org-obj,mp-is10-p-mid-nrm-obj,mp-is10-p-mid-obj,mp-is10-p-mid-diff,mp-is10-p-mid-freq,mp-is100-p-hi-org-obj,mp-is100-p-hi-nrm-obj,mp-is100-p-hi-obj,mp-is100-p-hi-diff,mp-is100-p-hi-freq,mp-is100-p-low-org-obj,mp-is100-p-low-nrm-obj,mp-is100-p-low-obj,mp-is100-p-low-diff,mp-is100-p-low-freq,mp-is100-p-mid-org-obj,mp-is100-p-mid-nrm-obj,mp-is100-p-mid-obj,mp-is100-p-mid-diff,mp-is100-p-mid-freq
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s2,0 0 0 0 0 161 -109,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,107,0 0 0 0 0 161 -109,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,107,0 0 0 0 0 161 -109,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,107,0 0 0 0 0 161 -109,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,107,0 0 0 0 0 161 -109,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,107,0 0 0 0 0 161 -109,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,107,0 0 0 0 0 167 -89,0.0 0.0 0.0 0.0 0.0 1.0 1.0,11.0,0,103,0 0 0 0 0 161 -109,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,107,0 0 0 0 0 161 -109,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,107
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s8,10 306 3061 958 125 4857 80,1.0 0.1 0.018691588785046728 0.2549019607843137 0.2857142857142857 0.19540229885057472 0.42857142857142855,1010472.7718716234,0,4424,10 308 3055 945 119 4867 76,1.0 0.3 0.0 0.0 0.0 0.25287356321839083 0.14285714285714285,1030002.671592775,0,4255,10 305 3358 951 134 4989 88,1.0 0.0 0.9439252336448598 0.11764705882352941 0.7142857142857143 0.9540229885057471 1.0,1009638.8681965857,0,4538,10 305 3358 952 134 4989 88,1.0 0.0 0.9439252336448598 0.13725490196078433 0.7142857142857143 0.9540229885057471 1.0,1009658.476039723,0,4537,10 305 3358 952 134 4989 88,1.0 0.0 0.9439252336448598 0.13725490196078433 0.7142857142857143 0.9540229885057471 1.0,1009658.476039723,0,4537,10 305 3376 966 130 4997 78,1.0 0.0 1.0 0.4117647058823529 0.5238095238095238 1.0 0.2857142857142857,1010474.431372549,0,4470,9 306 3291 996 139 4946 88,0.0 0.1 0.735202492211838 1.0 0.9523809523809523 0.7068965517241379 1.0,18455.33198287372,0,4721,10 315 3141 959 123 4823 74,1.0 1.0 0.26791277258566976 0.27450980392156865 0.19047619047619047 0.0 0.0,1102972.6851488259,0,4088,9 307 3329 985 140 4915 86,0.0 0.2 0.8535825545171339 0.7843137254901961 1.0 0.5287356321839081 0.8571428571428571,29426.283769840516,0,4611
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s3,3 17 2422 7419 11 7974 -8,0.0 0.6666666666666666 0.006726457399103139 0.5721750489875899 0.0 0.11002178649237472 0.6756756756756757,67307.88218318588,0,6691,3 17 2422 7419 11 7974 -11,0.0 0.6666666666666666 0.006726457399103139 0.5721750489875899 0.0 0.11002178649237472 0.6351351351351351,67307.84164264533,0,6694,7 13 2865 8074 14 8791 -21,1.0 0.0 1.0 1.0 0.1875 1.0 0.5,1011029.25,0,5649,6 18 2608 7835 13 8183 -58,0.75 0.8333333333333334 0.42376681614349776 0.8438928804702809 0.125 0.33769063180827885 0.0,838430.7712815567,0,6158,6 18 2607 7833 13 8185 -58,0.75 0.8333333333333334 0.42152466367713004 0.8425865447419987 0.125 0.33986928104575165 0.0,838407.065207657,0,6168,7 13 2862 8015 13 8786 -17,1.0 0.0 0.9932735426008968 0.961463096015676 0.125 0.9945533769063181 0.5540540540540541,1010917.1981098477,0,5720,3 16 2509 6543 27 7873 16,0.0 0.5 0.20179372197309417 0.0 1.0 0.0 1.0,52118.93721973094,0,7055,6 19 2612 7821 12 8198 -51,0.75 1.0 0.4327354260089686 0.8347485303723057 0.0625 0.3540305010893246 0.0945945945945946,855171.9876900674,0,6104,3 17 2419 7462 11 7953 -8,0.0 0.6666666666666666 0.0 0.6002612671456564 0.0 0.08714596949891068 0.6756756756756757,67268.47506918298,0,6744
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n10-d28-r0.10-rp0-fp0-s8,0 4 281 77 147 553 13,0.0 0.0 0.7343173431734318 0.06172839506172839 1.0 0.9473684210526315 0.875,7515.250511006573,0,30711,0 7 100 76 24 531 9,0.0 0.06382978723404255 0.06642066420664207 0.04938271604938271 0.031496062992125984 0.7819548872180451 0.375,7107.912236691452,0,30282,0 4 353 81 144 560 14,0.0 0.0 1.0 0.1111111111111111 0.9763779527559056 1.0 1.0,10219.748906386701,0,30473,0 27 82 116 20 482 14,0.0 0.48936170212765956 0.0 0.5432098765432098 0.0 0.41353383458646614 1.0,49484.51542765503,0,28583,0 4 352 72 143 547 13,0.0 0.0 0.996309963099631 0.0 0.968503937007874 0.9022556390977443 0.875,10069.847581088075,0,30562,0 11 137 115 33 546 12,0.0 0.14893617021276595 0.2029520295202952 0.5308641975308642 0.10236220472440945 0.8947368421052632 0.75,17473.935102903906,0,29594,0 51 98 153 55 427 6,0.0 1.0 0.05904059040590406 1.0 0.2755905511811024 0.0 0.0,101617.96495917714,0,26863,0 6 97 79 23 520 10,0.0 0.0425531914893617 0.055350553505535055 0.08641975308641975 0.023622047244094488 0.6992481203007519 0.5,4905.099123005357,0,30349,0 28 83 118 20 474 14,0.0 0.5106382978723404 0.0036900369003690036 0.5679012345679012 0.0 0.3533834586466165 1.0,51673.1652253921,0,28519
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s5,0 0 518 2683 13 2107 62,0.0 0.0 0.20833333333333334 0.021377672209026127 0.5 0.23865877712031558 0.9333333333333333,2158.030926646896,0,5030,0 0 518 2685 13 2105 63,0.0 0.0 0.20833333333333334 0.022327790973871733 0.5 0.23471400394477318 0.9666666666666667,2158.9749310133197,0,5026,0 0 542 2890 11 2155 59,0.0 0.0 0.35119047619047616 0.11971496437054632 0.3 0.3333333333333333 0.8333333333333334,3665.7863929419746,0,4697,0 0 483 2650 18 1988 64,0.0 0.0 0.0 0.005700712589073635 1.0 0.0039447731755424065 1.0,106.74016032082906,0,5284,0 0 502 2679 13 2073 53,0.0 0.0 0.1130952380952381 0.019477434679334917 0.5 0.17159763313609466 0.6333333333333333,1202.7791252964103,0,5177,0 0 651 4743 8 2493 34,0.0 0.0 1.0 1.0 0.0 1.0 0.0,11010.0,0,3495,0 0 529 2684 12 2115 59,0.0 0.0 0.27380952380952384 0.021852731591448932 0.4 0.25443786982248523 0.8333333333333334,2803.325681718246,0,4890,0 0 483 2638 18 1986 59,0.0 0.0 0.0 0.0 1.0 0.0 0.8333333333333334,100.83333333333333,0,5310,0 0 483 2647 18 1986 57,0.0 0.0 0.0 0.004275534441805225 1.0 0.0 0.7666666666666667,105.04220110847189,0,5305
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s9,14 284 186 263 38 822 40,1.0 0.0 0.5416666666666666 0.0967741935483871 0.2 0.0 0.2777777777777778,1005533.7186379927,0,12186,13 291 186 289 41 866 45,0.0 1.0 0.5416666666666666 0.9354838709677419 0.8 0.9777777777777777 0.5555555555555556,106442.48387096776,0,12807,13 291 197 291 42 863 43,0.0 1.0 1.0 1.0 1.0 0.9111111111111111 0.4444444444444444,111109.55555555555,0,12694,13 290 191 272 37 857 50,0.0 0.8571428571428571 0.75 0.3870967741935484 0.0 0.7777777777777778 0.8333333333333334,93609.99359959037,0,13016,14 284 186 260 37 828 41,1.0 0.0 0.5416666666666666 0.0 0.0 0.13333333333333333 0.3333333333333333,1005418.3333333334,0,12308,14 284 186 260 38 830 44,1.0 0.0 0.5416666666666666 0.0 0.2 0.17777777777777778 0.5,1005438.9444444444,0,12281,13 287 173 276 40 867 53,0.0 0.42857142857142855 0.0 0.5161290322580645 0.6 1.0 1.0,43444.27188940092,0,13434,14 288 190 283 40 824 35,1.0 0.5714285714285714 0.7083333333333334 0.7419354838709677 0.6 0.044444444444444446 0.0,1065028.5704045058,0,9144,13 291 186 289 40 862 44,0.0 1.0 0.5416666666666666 0.9354838709677419 0.6 0.8888888888888888 0.5,106421.5394265233,0,12815
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n40-d28-r0.10-rp2-fp2-s7,0 3 1124 2002 24 4390 33,0.0 0.0 0.391025641025641 0.16595744680851063 1.0 0.41706161137440756 0.5166666666666667,4180.901139845331,0,7084,0 3 1130 2087 24 4401 48,0.0 0.0 0.42948717948717946 0.5276595744680851 1.0 0.4431279620853081 0.7666666666666667,4927.7293156274,0,6918,0 3 1130 2087 24 4401 48,0.0 0.0 0.42948717948717946 0.5276595744680851 1.0 0.4431279620853081 0.7666666666666667,4927.7293156274,0,6918,0 3 1219 2198 23 4636 62,0.0 0.0 1.0 1.0 0.5 1.0 1.0,11061.0,0,6091,0 3 1128 2048 24 4396 43,0.0 0.0 0.4166666666666667 0.3617021276595745 1.0 0.4312796208530806 0.6833333333333333,4633.3649238681055,0,7002,0 3 1084 1983 23 4260 19,0.0 0.0 0.1346153846153846 0.0851063829787234 0.5 0.10900473933649289 0.2833333333333333,1482.6336098592678,0,7230,0 3 1064 1984 22 4214 2,0.0 0.0 0.00641025641025641 0.08936170212765958 0.0 0.0 0.0,153.4642662302237,0,7343,0 3 1063 1987 22 4217 3,0.0 0.0 0.0 0.10212765957446808 0.0 0.0071090047393364926 0.016666666666666666,102.21541628852812,0,7389,0 3 1123 1963 23 4389 28,0.0 0.0 0.38461538461538464 0.0 0.5 0.4146919431279621 0.43333333333333335,3900.734098918459,0,7114
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s4,0 29 2231 6787 37 7619 90,0.0 0.0 0.0 0.02040816326530612 1.0 0.0 0.058823529411764705,120.46698679471788,0,7744,0 29 2296 6804 37 7734 95,0.0 0.0 0.52 0.3673469387755102 1.0 0.4389312977099237 0.35294117647058826,5672.08919292908,0,7530,0 29 2231 6786 36 7619 89,0.0 0.0 0.0 0.0 0.8571428571428571 0.0 0.0,85.71428571428571,0,7753,0 29 2299 6799 36 7756 94,0.0 0.0 0.544 0.2653061224489796 0.8571428571428571 0.5229007633587787 0.29411764705882354,5796.543533443911,0,7455,0 29 2316 6796 37 7787 89,0.0 0.0 0.68 0.20408163265306123 1.0 0.6412213740458015 0.0,7110.4938463935205,0,7324,0 29 2321 6800 37 7803 100,0.0 0.0 0.72 0.2857142857142857 1.0 0.7022900763358778 0.6470588235294118,7593.384245301174,0,7276,0 29 2330 6793 34 7822 96,0.0 0.0 0.792 0.14285714285714285 0.5714285714285714 0.7748091603053435 0.4117647058823529,8128.159856308936,0,7221,0 29 2356 6835 30 7881 106,0.0 0.0 1.0 1.0 0.0 1.0 1.0,11011.0,0,7082,0 29 2316 6795 37 7787 92,0.0 0.0 0.68 0.1836734693877551 1.0 0.6412213740458015 0.17647058823529413,7090.26215371645,0,7331
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s6,1 193 1277 628 163 1923 34,0.0 0.0 0.0 0.09090909090909091 1.0 0.22727272727272727 0.0,193.1818181818182,0,7866,1 197 1290 647 150 1957 42,0.0 0.5714285714285714 0.7222222222222222 0.9545454545454546 0.0 1.0 0.4444444444444444,65330.06926406926,0,7351,1 197 1277 647 161 1917 43,0.0 0.5714285714285714 0.0 0.9545454545454546 0.8461538461538461 0.09090909090909091 0.5,58183.427072927065,0,7403,1 194 1279 626 161 1913 38,0.0 0.14285714285714285 0.1111111111111111 0.0 0.8461538461538461 0.0 0.2222222222222222,15481.663003663003,0,7724,1 193 1277 628 163 1925 34,0.0 0.0 0.0 0.09090909090909091 1.0 0.2727272727272727 0.0,193.63636363636363,0,7864,1 197 1290 647 150 1957 42,0.0 0.5714285714285714 0.7222222222222222 0.9545454545454546 0.0 1.0 0.4444444444444444,65330.06926406926,0,7351,1 197 1290 647 150 1957 45,0.0 0.5714285714285714 0.7222222222222222 0.9545454545454546 0.0 1.0 0.6111111111111112,65330.23593073592,0,7349,1 200 1295 633 153 1939 52,0.0 1.0 1.0 0.3181818181818182 0.23076923076923078 0.5909090909090909 1.0,110348.16783216783,0,6850,1 196 1280 648 161 1920 42,0.0 0.42857142857142855 0.16666666666666666 1.0 0.8461538461538461 0.1590909090909091 0.4444444444444444,45610.46026196026,0,7422
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n20-d28-r0.10-rp2-fp2-s0,0 0 0 0 0 81 -44,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,128,0 0 0 0 0 81 -44,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,128,0 0 0 0 0 82 -62,0.0 0.0 0.0 0.0 0.0 1.0 0.0,10.0,0,125,0 0 0 0 0 81 -44,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,128,0 0 0 0 0 81 -44,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,128,0 0 0 0 0 81 -44,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,128,0 0 0 0 0 81 -44,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,128,0 0 0 0 0 81 -44,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,128,0 0 0 0 0 81 -44,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,128
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s6,2 12 2361 7641 15 7922 60,0.14285714285714285 0.0 0.23582089552238805 0.223815877251501 0.6666666666666666 0.22451317296678122 0.4473684210526316,145508.52685643558,0,6029,1 16 2330 7394 14 7821 65,0.0 1.0 0.14328358208955225 0.14142761841227486 0.5 0.10882016036655212 0.5789473684210527,101625.93058827988,0,6188,1 16 2310 7149 15 7790 65,0.0 1.0 0.08358208955223881 0.05970647098065377 0.6666666666666666 0.07331042382588775 0.5789473684210527,100963.5060847764,0,6314,1 16 2330 7273 15 7821 55,0.0 1.0 0.14328358208955225 0.1010673782521681 0.6666666666666666 0.10882016036655212 0.3157894736842105,101601.9738568917,0,6219,1 14 2282 6970 17 7726 81,0.0 0.5 0.0 0.0 1.0 0.0 1.0,50101.0,0,6574,8 13 2617 9968 11 8599 43,1.0 0.25 1.0 1.0 0.0 1.0 0.0,1036010.0,0,4677,2 14 2485 8684 13 8311 50,0.14285714285714285 0.5 0.6059701492537314 0.571714476317545 0.3333333333333333 0.6701030927835051 0.18421052631578946,199528.77740078518,0,5364,1 16 2330 7175 14 7821 62,0.0 1.0 0.14328358208955225 0.06837891927951968 0.5 0.10882016036655212 0.5,101552.8029417787,0,6242,2 13 2384 7840 14 7986 66,0.14285714285714285 0.25 0.3044776119402985 0.2901934623082055 0.5 0.29782359679266895 0.6052631578947368,171245.69593797985,0,5965
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n40-d28-r0.10-rp2-fp2-s1,1 17 1615 4247 59 5246 47,0.0 0.5555555555555556 0.06842105263157895 0.09041835357624832 0.7368421052631579 0.2237017310252996 0.6615384615384615,56406.76720174569,0,6665,1 21 1722 4469 56 5425 56,0.0 1.0 0.35 0.16531713900134953 0.5789473684210527 0.4620505992010652 0.8,103728.63238183547,0,6267,4 18 1937 6071 45 5780 4,0.75 0.6666666666666666 0.9157894736842105 0.7058029689608637 0.0 0.9347536617842876 0.0,826539.7119090875,0,5191,1 19 1702 4485 59 5386 55,0.0 0.7777777777777778 0.29736842105263156 0.17071524966261808 0.7368421052631579 0.41011984021304926 0.7846153846153846,81000.7472622798,0,6433,2 15 1717 4466 56 5459 60,0.25 0.3333333333333333 0.3368421052631579 0.16430499325236167 0.5789473684210527 0.507323568575233 0.8615384615384616,286929.88889020664,0,6228,5 19 1969 6943 45 5829 12,1.0 0.7777777777777778 1.0 1.0 0.0 1.0 0.12307692307692308,1088787.900854701,0,4971,3 12 1758 4579 58 5500 69,0.5 0.0 0.44473684210526315 0.20242914979757085 0.6842105263157895 0.5619174434087882 1.0,504724.8377979159,0,6032,1 17 1589 3979 64 5078 41,0.0 0.5555555555555556 0.0 0.0 1.0 0.0 0.5692307692307692,55656.124786324785,0,6689,4 13 1807 5256 52 5604 50,0.75 0.1111111111111111 0.5736842105263158 0.4308367071524966 0.3684210526315789 0.7003994673768309 0.7076923076923077,767323.3437157713,0,5630
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n10-d28-r0.10-rp0-fp0-s3,0 0 0 0 0 91 -31,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,193,0 0 0 0 0 91 -31,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,193,0 0 0 0 0 91 -31,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,193,0 0 0 0 0 91 -31,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,193,0 0 0 0 0 91 -31,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,193,0 0 0 0 0 91 -31,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,193,0 0 0 0 0 91 -31,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,193,0 0 0 0 0 91 -31,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,193,0 0 0 0 0 91 -31,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,193
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n10-d28-r0.10-rp0-fp0-s5,0 0 2 0 0 129 -23,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,3957,0 0 2 0 0 129 -23,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,3957,0 0 2 0 0 129 -23,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,3957,0 0 2 0 0 129 -23,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,3957,0 0 2 0 0 129 -26,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,3958,0 0 2 0 0 129 -23,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,3957,0 0 2 0 0 129 -23,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,3957,0 0 2 0 0 129 -26,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,3958,0 0 2 0 0 129 -23,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,3957
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n20-d28-r0.10-rp2-fp2-s9,0 0 0 0 0 79 -53,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,92,0 0 0 0 0 79 -25,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,89,0 0 0 0 0 79 -25,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,89,0 0 0 0 0 79 -25,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,89,0 0 0 0 0 79 -25,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,89,0 0 0 0 0 79 -53,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,92,0 0 0 0 0 79 -53,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,92,0 0 0 0 0 79 -25,0.0 0.0 0.0 0.0 0.0 0.0 1.0,1.0,0,89,0 0 0 0 0 79 -53,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,92
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s7,2 17 2597 5991 13 7964 -6,0.0 0.14285714285714285 0.0 0.09649871904355252 0.14285714285714285 0.08239700374531835 0.3404255319148936,14397.663114612918,0,5372,2 16 2598 5997 19 7953 5,0.0 0.0 0.00909090909090909 0.10162254483347566 1.0 0.06179775280898876 0.574468085106383,293.72408135576285,0,5396,2 17 2693 5988 12 7987 -22,0.0 0.14285714285714285 0.8727272727272727 0.09393680614859094 0.0 0.1254681647940075 0.0,23108.178500783542,0,5354,2 16 2598 5995 18 7954 7,0.0 0.0 0.00909090909090909 0.09991460290350128 0.8571428571428571 0.06367041198501873 0.6170212765957447,277.79170492332383,0,5409,2 17 2693 5989 12 7987 -22,0.0 0.14285714285714285 0.8727272727272727 0.09479077711357814 0.0 0.1254681647940075 0.0,23109.03247174853,0,5349,2 16 2599 5994 13 7963 -6,0.0 0.0 0.01818181818181818 0.0990606319385141 0.14285714285714285 0.08052434456928839 0.3404255319148936,296.31019702001794,0,5385,2 16 2597 5952 14 7933 20,0.0 0.0 0.0 0.0631938514090521 0.2857142857142857 0.024344569288389514 0.8936170212765957,92.90234269464116,0,5426,2 23 2707 7049 14 8454 25,0.0 1.0 1.0 1.0 0.2857142857142857 1.0 1.0,111039.57142857143,0,4690,2 16 2597 5878 14 7920 8,0.0 0.0 0.0 0.0 0.2857142857142857 0.0 0.6382978723404256,29.209726443768997,0,5500
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n30-d28-r0.10-rp2-fp2-s4,0 3 912 2092 108 2532 -19,0.0 1.0 1.0 1.0 0.6 1.0 0.19047619047619047,111070.19047619047,0,8907,0 2 746 1691 110 2335 -15,0.0 0.0 0.15736040609137056 0.20278330019880716 1.0 0.08372093023255814 0.38095238095238093,1877.6055227957906,0,9984,0 2 884 1882 108 2407 -2,0.0 0.0 0.8578680203045685 0.5825049701789264 0.6 0.4186046511627907 1.0,9226.37121973624,0,9373,0 2 901 1879 105 2474 -21,0.0 0.0 0.9441624365482234 0.5765407554671969 0.0 0.7302325581395349 0.09523809523809523,10025.562684626064,0,9182,0 2 715 1589 108 2317 -23,0.0 0.0 0.0 0.0 0.6 0.0 0.0,60.0,0,10099,0 2 899 1875 105 2460 -23,0.0 0.0 0.934010152284264 0.5685884691848907 0.0 0.6651162790697674 0.0,9915.34115481823,0,9236,0 2 764 1795 109 2386 -9,0.0 0.0 0.24873096446700507 0.4095427435387674 0.8 0.3209302325581395 0.6666666666666666,2980.728357201066,0,9739,0 2 769 1825 109 2366 -7,0.0 0.0 0.27411167512690354 0.4691848906560636 0.8 0.22790697674418606 0.7619047619047619,3293.3426164544453,0,9632,0 2 757 1788 109 2376 -3,0.0 0.0 0.2131979695431472 0.3956262425447316 0.8 0.2744186046511628 0.9523809523809523,2611.302504975096,0,9775
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n50-d28-r0.10-rp2-fp2-s1,0 0 1611 2921 57 5985 186,0.0 0.0 0.0 0.0 1.0 0.0 0.9523809523809523,100.95238095238095,0,2845,0 0 1638 2980 55 6047 186,0.0 0.0 0.048561151079136694 0.020643806857942617 0.9393939393939394 0.040496407576747225 0.9523809523809523,601.5520566168519,0,2762,0 0 1678 3004 52 6139 178,0.0 0.0 0.12050359712230216 0.029041287613715886 0.8484848484848485 0.10058785107772697 0.7619047619047619,1320.6935269579042,0,2733,0 0 2167 5779 24 7516 146,0.0 0.0 1.0 1.0 0.0 1.0 0.0,11010.0,0,1632,0 0 1695 3331 53 6225 170,0.0 0.0 0.1510791366906475 0.14345696291112667 0.8787878787878788 0.15676028739386022 0.5714285714285714,1744.2661491417568,0,2602,0 0 1726 3614 29 6324 171,0.0 0.0 0.2068345323741007 0.24247725682295312 0.15151515151515152 0.22142390594382758 0.5952380952380952,2328.7835728701516,0,2494,0 0 1690 3234 55 6169 170,0.0 0.0 0.1420863309352518 0.10951714485654304 0.9393939393939394 0.1201828870019595 0.5714285714285714,1626.0931055899034,0,2647,0 0 1641 3005 54 6049 172,0.0 0.0 0.0539568345323741 0.02939118264520644 0.9090909090909091 0.041802743305029394 0.6190476190476191,660.9056939301362,0,2751,0 0 1629 2993 57 6010 188,0.0 0.0 0.03237410071942446 0.025192442267319804 1.0 0.016329196603527107 1.0,450.0967414275997,0,2779
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n20-d28-r0.10-rp2-fp2-s7,0 0 0 0 0 61 -22,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,105,0 0 0 0 0 61 -22,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,105,0 0 0 0 0 61 -22,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,105,0 0 0 0 0 61 -22,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,105,0 0 0 0 0 61 -22,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,105,0 0 0 0 0 61 -22,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,105,0 0 0 0 0 61 -22,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,105,0 0 0 0 0 61 -22,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,105,0 0 0 0 0 61 -22,0.0 0.0 0.0 0.0 0.0 0.0 0.0,0.0,0,105
resolved-c28d-comp-is/resolved-c28d-3600-2nd/nsp-n10-d28-r0.10-rp0-fp0-s0,0 1 0 1 0 191 -16,0.0 0.0 0.0 0.0 0.0 0.0 0.2222222222222222,0.2222222222222222,0,18861,0 1 0 3 0 199 -12,0.0 0.0 0.0 0.08 0.0 0.05555555555555555 0.4444444444444444,81.0,0,18739,0 1 4 20 0 200 -9,0.0 0.0 0.14814814814814814 0.76 0.0 0.0625 0.6111111111111112,2242.7175925925926,0,17832,0 1 6 20 0 203 -17,0.0 0.0 0.2222222222222222 0.76 0.0 0.08333333333333333 0.16666666666666666,2983.222222222222,0,17765,0 1 7 22 1 198 -20,0.0 0.0 0.25925925925925924 0.84 1.0 0.04861111111111111 0.0,3533.078703703704,0,17635,0 1 0 2 0 218 -16,0.0 0.0 0.0 0.04 0.0 0.1875 0.2222222222222222,42.09722222222222,0,18766,0 1 13 26 1 275 -5,0.0 0.0 0.48148148148148145 1.0 1.0 0.5833333333333334 0.8333333333333334,5921.481481481481,0,16930,0 1 14 17 0 265 -11,0.0 0.0 0.5185185185185185 0.64 0.0 0.5138888888888888 0.5,5830.824074074074,0,16701,0 1 27 21 1 335 -2,0.0 0.0 1.0 0.8 1.0 1.0 1.0,10911.0,0,15794
